date,temperature
2020-08-12 00:17:20,26.5
2020-08-12 00:27:20,26.75
2020-08-12 00:37:20,26.5
2020-08-12 00:47:20,26.5
2020-08-12 00:57:21,26.25
2020-08-12 01:07:21,27.0
2020-08-12 01:17:21,25.25
2020-08-12 01:27:21,28.25
2020-08-12 01:37:21,28.25
2020-08-12 01:47:21,28.75
2020-08-12 01:57:21,29.0
2020-08-12 02:07:21,29.0
2020-08-12 02:17:21,28.75
2020-08-12 02:27:21,27.5
2020-08-12 02:37:21,26.5
2020-08-12 02:47:21,26.0
2020-08-12 02:57:21,26.25
2020-08-12 03:07:21,25.75
2020-08-12 03:17:21,25.5
2020-08-12 03:27:21,26.25
2020-08-12 03:37:21,26.5
2020-08-12 03:47:21,26.25
2020-08-12 03:57:20,26.0
2020-08-12 04:07:21,26.0
2020-08-12 04:27:21,26.0
2020-08-12 04:37:21,26.0
2020-08-12 04:47:21,26.0
2020-08-12 04:57:21,25.5
2020-08-12 05:07:21,26.25
2020-08-12 05:17:21,26.0
2020-08-12 05:27:21,26.25
2020-08-12 05:37:21,26.5
2020-08-12 05:47:21,26.25
2020-08-12 05:57:21,26.75
2020-08-12 06:07:21,26.5
2020-08-12 06:17:21,26.5
2020-08-12 06:27:21,26.5
2020-08-12 06:37:21,26.0
2020-08-12 06:47:21,26.5
2020-08-12 06:57:20,26.25
2020-08-12 07:07:20,26.5
2020-08-12 07:17:20,26.0
2020-08-12 07:27:20,26.0
2020-08-12 07:37:20,26.5
2020-08-12 07:47:20,26.5
2020-08-12 07:57:20,26.25
2020-08-12 08:07:20,25.5
2020-08-12 08:17:20,26.0
2020-08-12 08:27:21,27.0
2020-08-12 08:37:21,27.0
2020-08-12 08:47:21,26.75
2020-08-12 08:57:21,26.5
2020-08-12 09:07:21,26.0
2020-08-12 09:17:21,26.25
2020-08-12 09:27:21,25.0
2020-08-12 09:37:21,25.5
2020-08-12 09:47:21,26.25
2020-08-12 09:57:21,26.0
2020-08-12 10:07:21,26.25
2020-08-12 10:17:21,26.0
2020-08-12 10:27:21,26.5
2020-08-12 10:37:21,26.0
2020-08-12 10:47:21,26.25
2020-08-12 10:57:21,26.0
2020-08-12 11:07:21,25.75
2020-08-12 11:17:21,26.0
2020-08-12 11:27:21,25.5
2020-08-12 11:37:21,25.5
2020-08-12 11:47:21,26.0
2020-08-12 11:57:21,25.5
2020-08-12 12:07:21,26.0
2020-08-12 12:17:21,25.75
2020-08-12 12:27:21,26.0
2020-08-12 12:37:21,25.25
2020-08-12 12:47:21,24.75
2020-08-12 12:57:20,25.5
2020-08-12 13:07:20,25.0
2020-08-12 13:17:20,24.0
2020-08-12 13:27:20,25.0
2020-08-12 13:37:20,24.75
2020-08-12 13:47:20,24.75
2020-08-12 13:57:20,24.5
2020-08-12 14:07:20,24.5
2020-08-12 14:17:20,24.0
2020-08-12 14:27:20,24.5
2020-08-12 14:37:20,24.75
2020-08-12 14:47:20,24.5
2020-08-12 14:57:20,25.0
2020-08-12 15:07:20,25.0
2020-08-12 15:17:20,25.0
2020-08-12 15:27:20,24.5
2020-08-12 15:37:20,24.5
2020-08-12 15:47:20,24.25
2020-08-12 15:57:21,24.25
2020-08-12 16:07:21,24.5
2020-08-12 16:17:21,24.5
2020-08-12 16:27:21,24.25
2020-08-12 16:37:21,24.75
2020-08-12 16:47:21,24.0
2020-08-12 16:57:21,24.0
2020-08-12 17:07:21,24.0
2020-08-12 17:17:21,24.0
2020-08-12 17:27:21,23.75
2020-08-12 17:37:21,23.75
2020-08-12 17:47:21,24.0
2020-08-12 17:57:21,24.0
2020-08-12 18:07:21,24.75
2020-08-12 18:17:21,24.75
2020-08-12 18:27:21,25.25
2020-08-12 18:37:21,25.5
2020-08-12 18:47:21,25.75
2020-08-12 18:57:21,26.0
2020-08-12 19:07:21,25.75
2020-08-12 19:17:21,25.5
2020-08-12 19:27:21,25.75
2020-08-12 19:37:21,26.0
2020-08-12 19:47:21,25.75
2020-08-12 19:57:21,26.0
2020-08-12 20:07:21,26.0
2020-08-12 20:17:21,25.75
2020-08-12 20:27:21,26.0
2020-08-12 20:37:21,26.25
2020-08-12 20:47:21,25.75
2020-08-12 20:57:21,26.25
2020-08-12 21:07:21,26.25
2020-08-12 21:17:21,25.75
2020-08-12 21:27:21,25.25
2020-08-12 21:37:21,25.0
2020-08-12 21:47:21,25.5
2020-08-12 21:57:21,25.5
2020-08-12 22:07:21,25.25
2020-08-12 22:17:21,25.5
2020-08-12 22:27:21,25.0
2020-08-12 22:37:21,25.25
2020-08-12 22:47:21,25.5
2020-08-12 22:57:21,25.5
2020-08-12 23:07:21,25.5
2020-08-12 23:17:21,26.5
2020-08-12 23:27:20,27.0
2020-08-12 23:37:20,27.0
2020-08-12 23:47:20,27.25
2020-08-12 23:57:20,26.75
