date,temperature
2020-08-16 00:12:39,30.5
2020-08-16 00:22:39,29.75
2020-08-16 00:32:39,30.25
2020-08-16 00:42:39,28.0
2020-08-16 00:52:39,27.0
2020-08-16 01:02:39,29.5
2020-08-16 01:12:39,25.5
2020-08-16 01:22:39,25.5
2020-08-16 01:32:39,25.0
2020-08-16 01:42:39,25.5
2020-08-16 01:52:39,25.75
2020-08-16 02:02:39,25.75
2020-08-16 02:12:39,25.0
2020-08-16 02:22:39,25.5
2020-08-16 02:32:39,26.25
2020-08-16 02:42:39,26.25
2020-08-16 02:52:39,26.0
2020-08-16 03:02:39,26.25
2020-08-16 03:12:39,26.0
2020-08-16 03:22:40,26.75
2020-08-16 03:32:39,26.25
2020-08-16 03:42:39,26.0
2020-08-16 03:52:39,25.5
2020-08-16 04:02:39,25.75
2020-08-16 04:12:39,25.0
2020-08-16 04:22:39,24.75
2020-08-16 04:32:39,23.75
2020-08-16 04:42:39,24.25
2020-08-16 04:52:39,24.0
2020-08-16 05:02:39,23.5
2020-08-16 05:12:39,23.75
2020-08-16 05:22:39,23.25
2020-08-16 05:32:39,23.25
2020-08-16 05:42:39,23.0
2020-08-16 05:52:39,23.75
2020-08-16 06:02:39,24.0
2020-08-16 06:12:39,23.25
2020-08-16 06:22:39,23.25
2020-08-16 06:32:39,23.25
2020-08-16 06:42:39,23.5
2020-08-16 06:52:39,23.5
2020-08-16 07:02:39,23.75
2020-08-16 07:12:39,23.25
2020-08-16 07:22:39,23.5
2020-08-16 07:32:39,23.25
2020-08-16 07:42:39,23.0
2020-08-16 07:52:39,22.5
2020-08-16 08:02:39,22.5
2020-08-16 08:12:39,22.25
2020-08-16 08:22:39,22.25
2020-08-16 08:32:39,22.25
2020-08-16 08:42:39,22.0
2020-08-16 08:52:39,22.0
2020-08-16 09:02:39,21.5
2020-08-16 09:12:39,22.0
2020-08-16 09:22:39,21.5
2020-08-16 09:32:39,22.25
2020-08-16 09:42:39,22.25
2020-08-16 09:52:39,22.0
2020-08-16 10:02:39,22.0
2020-08-16 10:12:39,21.5
2020-08-16 10:22:39,22.5
2020-08-16 10:32:39,23.25
2020-08-16 10:42:39,23.75
2020-08-16 10:52:39,24.5
2020-08-16 11:02:39,24.25
2020-08-16 11:12:39,24.5
2020-08-16 11:22:39,25.0
2020-08-16 11:32:39,25.25
2020-08-16 11:42:39,25.25
2020-08-16 11:52:39,24.75
2020-08-16 12:02:39,24.25
2020-08-16 12:12:39,24.75
2020-08-16 12:22:39,25.25
2020-08-16 12:32:39,25.25
2020-08-16 12:42:39,25.5
2020-08-16 12:52:39,25.75
2020-08-16 13:02:39,25.5
2020-08-16 13:12:39,25.5
2020-08-16 13:22:39,26.0
2020-08-16 13:32:39,26.0
2020-08-16 13:42:39,25.5
2020-08-16 13:52:39,25.75
2020-08-16 14:02:39,25.75
2020-08-16 14:12:39,24.75
2020-08-16 14:22:39,25.25
2020-08-16 14:32:39,25.5
2020-08-16 14:42:39,25.25
2020-08-16 14:52:39,25.75
2020-08-16 15:02:39,25.75
2020-08-16 15:12:39,25.75
2020-08-16 15:22:39,25.75
2020-08-16 15:32:39,26.25
2020-08-16 15:42:39,26.25
2020-08-16 15:52:39,26.0
2020-08-16 16:02:39,26.0
2020-08-16 16:12:39,25.5
2020-08-16 16:22:39,26.0
2020-08-16 16:32:39,26.0
2020-08-16 16:42:39,25.5
2020-08-16 16:52:39,25.25
2020-08-16 17:02:39,25.75
2020-08-16 17:12:39,25.5
2020-08-16 17:22:39,25.25
2020-08-16 17:32:39,25.5
2020-08-16 17:42:39,26.0
